Pos_Primary,Rank,Player,Nation,Squad,Comp,Age,Score,foto_url,valor_mercado,valor_mercado_fmt
DF,10,Nico Schlotterbeck,de GER,Dortmund,de Bundesliga,24,0.5679,https://img.a.transfermarkt.technology/portrait/header/388198-1709560457.jpg?lm=1,55000000.0,€55M
DF,11,Mohammed Salisu,gh GHA,Monaco,fr Ligue 1,25,0.5661,https://img.a.transfermarkt.technology/portrait/header/563963-1668428508.jpg?lm=1,10000000.0,€10M
DF,12,Welington,br BRA,Southampton,eng Premier League,23,0.5597,https://img.a.transfermarkt.technology/portrait/header/729264-1764146570.jpg?lm=1,3000000.0,€3M
DF,13,Kostas Tsimikas,gr GRE,Liverpool,eng Premier League,28,0.5542,https://img.a.transfermarkt.technology/portrait/header/338070-1682088468.jpg?lm=1,4500000.0,€4.5M
DF,14,Adam Webster,eng ENG,Brighton,eng Premier League,29,0.5534,https://img.a.transfermarkt.technology/portrait/header/212847-1681737411.jpg?lm=1,5000000.0,€5M
DF,15,El Chadaille Bitshiabu,fr FRA,RB Leipzig,de Bundesliga,19,0.5527,https://img.a.transfermarkt.technology/portrait/header/787912-1672304780.jpg?lm=1,18000000.0,€18M
DF,16,Jean-Kevin Duverne,ht HAI,Nantes,fr Ligue 1,27,0.5527,,,
DF,17,Kim Min jae,kr KOR,Bayern Munich,de Bundesliga,27,0.5509,https://img.a.transfermarkt.technology/portrait/header/503482-1700208062.jpg?lm=1,20000000.0,€20M
DF,18,Marquinhos,br BRA,Paris S-G,fr Ligue 1,30,0.5489,https://img.a.transfermarkt.technology/portrait/header/181767-1672303747.jpg?lm=1,30000000.0,€30M
DF,19,Waldemar Anton,de GER,Dortmund,de Bundesliga,28,0.5482,,,
DF,20,Yarek Gasiorowski,es ESP,Valencia,es La Liga,19,0.5478,,,
GK,1,Mile Svilar,rs SRB,Roma,it Serie A,24,0.62,https://img.a.transfermarkt.technology/portrait/header/338670-1725532174.jpg?lm=1,35000000.0,€35M
GK,2,Mattia Perin,it ITA,Juventus,it Serie A,31,0.6151,https://img.a.transfermarkt.technology/portrait/header/110923-1695107834.jpg?lm=1,2000000.0,€2M
GK,3,Josep Martinez,es ESP,Inter,it Serie A,26,0.6128,https://img.a.transfermarkt.technology/portrait/header/388516-1686153132.jpg?lm=1,10000000.0,€10M
GK,4,Finn Dahmen,de GER,Augsburg,de Bundesliga,26,0.5917,https://img.a.transfermarkt.technology/portrait/header/251299-1755200500.jpg?lm=1,12000000.0,€12M
GK,5,Đorđe Petrović,rs SRB,Strasbourg,fr Ligue 1,24,0.5873,https://img.a.transfermarkt.technology/portrait/header/465555-1775574265.jpg?lm=1,28000000.0,€28M
GK,6,Vanja Milinković-Savić,rs SRB,Torino,it Serie A,27,0.5619,https://img.a.transfermarkt.technology/portrait/header/257474-1730125139.jpg?lm=1,20000000.0,€20M
GK,7,Unai Simón,es ESP,Athletic Club,es La Liga,27,0.5598,https://img.a.transfermarkt.technology/portrait/header/262396-1709674901.png?lm=1,25000000.0,€25M
GK,8,Yehvann Diouf,sn SEN,Reims,fr Ligue 1,24,0.557,https://img.a.transfermarkt.technology/portrait/header/448632-1756822717.jpg?lm=1,7000000.0,€7M
GK,9,Lucas Chevalier,fr FRA,Lille,fr Ligue 1,22,0.5381,https://img.a.transfermarkt.technology/portrait/header/463600-1708342501.jpg?lm=1,30000000.0,€30M
GK,10,Alex Meret,it ITA,Napoli,it Serie A,27,0.5335,https://img.a.transfermarkt.technology/portrait/header/240414-1695025886.jpg?lm=1,8000000.0,€8M
GK,11,Yann Sommer,ch SUI,Inter,it Serie A,35,0.5261,https://img.a.transfermarkt.technology/portrait/header/42205-1669897427.jpg?lm=1,2000000.0,€2M
GK,12,Manuel Neuer,de GER,Bayern Munich,de Bundesliga,38,0.5256,https://img.a.transfermarkt.technology/portrait/header/17259-1762943283.jpg?lm=1,4000000.0,€4M
GK,13,Moritz Nicolas,de GER,Gladbach,de Bundesliga,26,0.5194,https://img.a.transfermarkt.technology/portrait/header/284270-1722945496.jpg?lm=1,8000000.0,€8M
GK,14,Marco Carnesecchi,it ITA,Atalanta,it Serie A,24,0.517,https://img.a.transfermarkt.technology/portrait/header/459763-1695027944.jpg?lm=1,30000000.0,€30M
GK,15,Nicola Leali,it ITA,Genoa,it Serie A,31,0.5163,https://img.a.transfermarkt.technology/portrait/header/136111-1692963337.jpg?lm=1,1000000.0,€1M
GK,16,Ederson,br BRA,Manchester City,eng Premier League,30,0.512,https://img.a.transfermarkt.technology/portrait/header/238223-1765380595.jpg?lm=1,10000000.0,€10M
GK,17,Nikola Vasilj,ba BIH,St. Pauli,de Bundesliga,28,0.5099,,,
GK,18,Yahia Fofana,ci CIV,Angers,fr Ligue 1,23,0.5081,,,
GK,19,Péter Gulácsi,hu HUN,RB Leipzig,de Bundesliga,34,0.5078,,,
GK,20,Julen Agirrezabala,es ESP,Athletic Club,es La Liga,23,0.5011,,,
